time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
13.04 179.676 0.011515 55.077 10.966 0 1 0 0 1 0 0 0
13.08 180.207 0.010521 44.658 6.940 0 1 0 0 1 0 0 0
13.12 186.467 0.000990 33.242 3.568 0 1 0 0 1 0 0 0
13.16 191.214 0.001365 38.466 3.965 0 1 0 0 1 0 0 0
13.20 195.961 0.001521 35.843 4.424 0 1 0 0 1 0 0 0
13.24 200.708 0.001360 41.225 4.564 0 1 0 0 1 0 0 0
13.28 208.690 0.050818 75.342 14.305 0 1 0 0 1 0 0 0
13.32 215.222 0.134978 76.540 41.257 0 1 0 0 1 0 0 0
13.36 200.963 0.121559 75.110 53.837 0 1 0 0 1 0 0 0
13.40 193.531 0.087020 57.961 29.738 0 1 0 0 1 0 0 0
13.44 193.533 0.003428 41.169 8.481 0 1 0 0 1 0 0 0
13.48 193.534 0.001895 38.445 5.778 0 1 0 0 1 0 0 0
13.52 193.535 0.001727 44.191 4.746 0 1 0 0 1 0 0 0
13.56 193.537 0.074758 77.994 18.037 0 1 0 0 1 0 0 0
13.60 190.705 0.135771 70.182 38.545 0 1 0 0 1 0 0 0
13.64 187.965 0.013397 39.286 9.678 1 0 0 0 1 0 0 0
13.68 185.886 0.001644 35.096 4.539 1 0 0 0 1 0 0 0
13.72 183.808 0.000947 34.246 2.878 1 0 0 0 1 0 0 0
13.76 181.729 0.001194 35.348 2.634 1 0 0 0 1 0 0 0
13.80 179.651 0.001668 40.950 3.986 1 0 0 0 1 0 0 0
13.84 177.572 0.002690 43.051 5.224 1 0 0 0 1 0 0 0
13.88 175.493 0.002775 42.384 5.715 1 0 0 0 1 0 0 0
13.92 173.415 0.002388 41.960 5.620 1 0 0 0 0 1 0 0
13.96 171.336 0.002550 41.400 5.344 1 0 0 0 0 1 0 0
14.00 169.258 0.002218 42.163 4.980 1 0 0 0 0 1 0 0
14.04 167.179 0.002517 41.499 4.553 1 0 0 0 0 1 0 0
14.08 165.101 0.001933 38.198 3.777 1 0 0 0 0 1 0 0
14.12 163.022 0.001550 36.260 2.526 1 0 0 0 0 1 0 0
14.16 159.527 0.001039 39.081 2.105 1 0 0 0 0 1 0 0
14.20 158.255 0.022774 66.602 8.352 1 0 0 0 0 1 0 0
14.24 159.591 0.048918 67.198 17.753 1 0 0 0 0 1 0 0
14.28 158.297 0.031242 52.942 11.981 1 0 0 0 0 1 0 0
14.32 156.452 0.005714 54.085 9.054 1 0 0 0 0 1 0 0
14.36 154.100 0.020768 66.381 12.001 1 0 0 0 0 1 0 0
14.40 145.363 0.065339 72.107 24.397 1 0 0 0 0 1 0 0
14.44 133.301 0.068889 66.604 25.075 1 0 0 0 0 1 0 0
14.48 129.912 0.034769 60.269 18.518 1 0 0 0 0 1 0 0
14.52 130.431 0.010567 33.198 4.206 1 0 0 0 0 1 0 0
14.56 130.824 0.001434 38.420 2.478 1 0 0 0 0 1 0 0
14.60 131.217 0.001170 32.995 2.380 1 0 0 0 0 1 0 0
14.64 131.610 0.000871 32.831 2.547 1 0 0 0 0 1 0 0
14.68 132.003 0.000784 31.811 2.578 1 0 0 0 0 1 0 0
14.72 132.396 0.000755 33.587 2.534 1 0 0 0 0 1 0 0
14.76 132.789 0.000880 32.682 2.318 1 0 0 0 0 1 0 0
14.80 133.182 0.000710 31.381 2.060 1 0 0 0 0 1 0 0
14.84 133.575 0.000685 27.279 1.832 1 0 0 0 0 1 0 0
14.88 133.968 0.000227 19.368 1.687 1 0 0 0 0 1 0 0
14.92 134.362 0.000476 30.645 1.622 1 0 0 0 0 1 0 0
14.96 134.755 0.000545 30.343 1.626 1 0 0 0 0 1 0 0
15.00 135.148 0.000958 31.081 1.757 1 0 0 0 0 1 0 0
15.04 135.541 0.000700 29.925 1.683 1 0 0 0 0 1 0 0
15.08 135.934 0.000611 31.209 1.637 1 0 0 0 0 1 0 0
15.12 136.327 0.000542 29.014 1.613 1 0 0 0 0 1 0 0
15.16 136.720 0.000599 24.988 1.603 1 0 0 0 0 1 0 0
