time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
7.52 159.052 0.002062 46.505 3.629 1 0 0 0 1 0 0 0
7.56 164.408 0.014312 60.660 10.075 1 0 0 0 1 0 0 0
7.60 167.874 0.023120 61.080 15.559 1 0 0 0 1 0 0 0
7.64 165.291 0.021648 61.430 17.150 1 0 0 0 1 0 0 0
7.68 161.158 0.021086 57.951 13.273 1 0 0 0 1 0 0 0
7.72 162.754 0.019112 61.991 11.652 1 0 0 0 1 0 0 0
7.76 164.882 0.030200 62.701 12.682 1 0 0 0 1 0 0 0
7.80 163.947 0.022107 59.098 12.451 1 0 0 0 1 0 0 0
7.84 166.309 0.012535 49.667 9.360 1 0 0 0 1 0 0 0
7.88 171.164 0.003398 44.211 4.611 1 0 0 0 1 0 0 0
7.92 175.394 0.004385 51.317 7.082 1 0 0 0 1 0 0 0
7.96 183.221 0.009948 53.585 9.687 1 0 0 0 1 0 0 0
8.00 187.778 0.009451 51.498 8.099 1 0 0 0 1 0 0 0
8.04 184.163 0.003558 30.493 3.905 1 0 0 0 1 0 0 0
8.08 181.909 0.000380 23.368 2.208 1 0 0 0 1 0 0 0
8.12 179.655 0.000265 25.358 1.741 1 0 0 0 1 0 0 0
8.16 177.400 0.001993 36.582 2.037 1 0 0 0 1 0 0 0
8.20 175.146 0.000678 28.402 1.718 1 0 0 0 1 0 0 0
8.24 172.891 0.000447 25.275 1.652 1 0 0 0 1 0 0 0
8.28 170.637 0.000327 25.311 1.782 1 0 0 0 1 0 0 0
8.32 168.382 0.000359 24.451 2.075 1 0 0 0 1 0 0 0
8.36 166.128 0.000376 27.525 2.306 1 0 0 0 1 0 0 0
8.40 163.874 0.000465 26.412 2.505 1 0 0 0 1 0 0 0
8.44 161.619 0.000486 30.309 2.620 1 0 0 0 1 0 0 0
8.48 159.365 0.000598 29.349 2.761 1 0 0 0 1 0 0 0
8.52 157.110 0.000649 28.038 2.827 1 0 0 0 1 0 0 0
8.56 154.856 0.000443 26.713 2.527 1 0 0 0 1 0 0 0
8.60 152.601 0.000357 23.919 2.120 1 0 0 0 1 0 0 0
8.64 150.347 0.000325 21.832 1.783 1 0 0 0 1 0 0 0
8.68 148.093 0.000249 23.109 1.667 1 0 0 0 1 0 0 0
8.72 145.838 0.000288 19.864 1.621 1 0 0 0 1 0 0 0
8.76 143.584 0.000173 16.362 1.605 1 0 0 0 1 0 0 0
8.80 141.329 0.000136 13.932 1.601 1 0 0 0 1 0 0 0
8.84 139.075 0.000129 18.897 1.635 1 0 0 0 1 0 0 0
8.88 136.820 0.000331 25.856 1.728 1 0 0 0 1 0 0 0
8.92 133.671 0.001765 44.393 2.808 1 0 0 0 1 0 0 0
8.96 131.258 0.005890 51.789 5.627 1 0 0 0 1 0 0 0
9.00 131.812 0.010353 56.476 8.617 1 0 0 0 1 0 0 0
9.04 131.360 0.015797 59.270 12.942 1 0 0 0 1 0 0 0
9.08 129.743 0.019356 58.958 15.139 1 0 0 0 1 0 0 0
9.12 128.494 0.016451 57.869 14.112 1 0 0 0 1 0 0 0
9.16 128.182 0.014809 56.990 13.124 1 0 0 0 1 0 0 0
9.20 127.786 0.013404 56.047 12.172 1 0 0 0 1 0 0 0
9.24 129.100 0.011920 55.239 11.006 1 0 0 0 1 0 0 0
9.28 144.296 0.012067 54.066 10.166 1 0 0 0 1 0 0 0
9.32 169.796 0.004852 33.378 3.575 1 0 0 0 1 0 0 0
9.36 185.701 0.000371 19.043 1.940 1 0 0 0 1 0 0 0
9.40 201.607 0.000165 22.446 1.681 1 0 0 0 1 0 0 0
9.44 217.513 0.000274 21.421 1.624 1 0 0 0 1 0 0 0
9.48 233.418 0.000249 23.700 1.607 1 0 0 0 1 0 0 0
9.52 249.324 0.000257 22.931 1.602 1 0 0 0 0 1 0 0
9.56 265.230 0.000278 22.172 1.610 1 0 0 0 0 1 0 0
9.60 281.136 0.000219 20.849 1.618 1 0 0 0 0 1 0 0
9.64 297.041 0.000227 22.785 1.605 1 0 0 0 0 1 0 0
9.68 312.947 0.000265 25.867 1.628 1 0 0 0 0 1 0 0
9.72 328.853 0.000519 28.450 1.651 1 0 0 0 0 1 0 0
9.76 344.759 0.000435 31.873 1.762 1 0 0 0 0 1 0 0
9.80 360.664 0.000873 36.310 1.683 1 0 0 0 0 1 0 0
9.84 376.570 0.001373 36.470 1.656 1 0 0 0 0 1 0 0
9.88 392.476 0.001074 29.892 1.628 1 0 0 0 0 1 0 0
9.92 408.381 0.000669 32.182 1.615 0 1 0 0 0 1 0 0
9.96 424.287 0.000699 30.398 1.605 0 1 0 0 0 1 0 0
10.00 440.193 0.001387 29.715 1.777 0 1 0 0 0 1 0 0
10.04 456.099 0.012127 59.290 7.050 0 1 0 0 0 1 0 0
